          0         1         2         3         4         5         6         7         8         9         10        11        12        13        14        15        16        17        18        19        20        21        22        23        24        25        26        27        28        29        30        31        32        33        34        35        36        37        38        39        40        41        42        43        44        45        46        47        48        49        50        51        52        53        54        55        56        57        58        59        60        61        62        63        64        65        66        67        68        69        70
13  0.417964  0.372039  0.452991  0.386328  0.359576  0.362853  0.360160  0.404711  0.401954  0.429336  0.408333  0.430805  0.478580  1.000000  0.042218  0.000962  0.002404  0.000621  0.111090  0.030340  0.008080  0.052263 -0.032569  0.024667 -0.008059  0.066298  0.035114  0.031228 -0.004154 -0.020201 -0.004506  0.080741  0.014885 -0.006669  0.040573 -0.040946  0.002093 -0.031891  0.031634  0.023749  0.194003  0.211014  0.187067  0.223879  0.192000  0.101923  0.210064  0.141505  0.140076  0.206591  0.187103  0.171880  0.155401  0.434006  0.026661  0.097134  0.105569  0.098895  0.053364  0.085034  0.131829  0.063479  0.077860  0.111205  0.077572  0.035005  0.048103  0.187219  0.641778  0.345379  0.134522
14  0.069515  0.104070  0.069476  0.069344  0.005845  0.087322  0.029684  0.021212  0.064913  0.022896 -0.016565  0.075748  0.067112  0.042218  1.000000  0.037360  0.126681  0.146688  0.119816  0.227220  0.070006  0.100494  0.099972  0.153455  0.168676  0.102646  0.247487  0.999652  0.035924  0.123012  0.145818  0.119991  0.224179  0.068778  0.100036  0.098622  0.152125  0.168189  0.097264  0.246199  0.022768 -0.001572 -0.021251 -0.006658 -0.017108 -0.020147  0.008178 -0.019785 -0.024970 -0.014934 -0.018812 -0.002981 -0.002194 -0.031882 -0.047941 -0.032971 -0.054011 -0.037165 -0.041764 -0.032920 -0.041055  0.007859 -0.028607 -0.043226 -0.025585 -0.020799 -0.029192 -0.038410  0.071204 -0.019469 -0.052352
15  0.004695 -0.003989 -0.020483  0.017543  0.025962  0.039253 -0.012236 -0.019880  0.019533 -0.004464 -0.016366  0.002741  0.011336  0.000962  0.037360  1.000000  0.079326  0.049769  0.067985  0.102061  0.031924  0.031541  0.084613  0.069834  0.077507  0.034098  0.051219  0.037292  0.999905  0.080221  0.049553  0.066133  0.100694  0.032420  0.032170  0.084208  0.070011  0.077795  0.034141  0.051013  0.017760  0.012959  0.021988 -0.013946 -0.004836  0.101755  0.015400  0.021798  0.041995 -0.003505 -0.010934  0.007760  0.011437  0.013599  0.025915  0.020295  0.014523  0.004358  0.044554  0.091826  0.025838  0.093736  0.074495  0.008788  0.015946  0.029662  0.037036  0.003913  0.003740  0.025423  0.044387
16  0.017678  0.048959 -0.007130  0.043651 -0.014795  0.082395 -0.037571 -0.057079  0.026477 -0.026628 -0.079908  0.020463  0.013172  0.002404  0.126681  0.079326  1.000000  0.052893  0.173307  0.156892  0.071702  0.063454  0.158445  0.195362  0.252279  0.122085  0.098297  0.126402  0.078641  0.998755  0.052332  0.175563  0.153845  0.073229  0.065216  0.157898  0.196600  0.254777  0.121370  0.098107 -0.035714 -0.074398 -0.044634 -0.091369 -0.101954 -0.088277 -0.054982  0.002383 -0.053162 -0.077682 -0.039116 -0.035701 -0.068291 -0.059854 -0.063380 -0.115666 -0.101602 -0.104711 -0.071718 -0.048511 -0.102820 -0.033873 -0.011953 -0.118847 -0.066428 -0.002617 -0.100921 -0.093112  0.000908 -0.102951 -0.118499
17  0.001726 -0.001282 -0.011862  0.032650  0.019889  0.010117  0.002651  0.035381  0.012085 -0.010399 -0.003442  0.004182 -0.003243  0.000621  0.146688  0.049769  0.052893  1.000000  0.069305  0.169764  0.254309  0.061124  0.105030  0.095675  0.102668  0.186151  0.140874  0.146861  0.049779  0.053400  0.999912  0.067983  0.169855  0.254158  0.060192  0.104781  0.096142  0.101982  0.187267  0.141129  0.008046  0.039328  0.004004  0.002613  0.022059  0.038803  0.037826  0.052703  0.037645  0.025633  0.030483  0.049843  0.011559 -0.021697  0.011840  0.037617  0.047639  0.048336  0.023990  0.039289  0.047318  0.032426  0.043149  0.025442  0.046545  0.027336  0.001761  0.009533  0.008347  0.039057  0.046215
18  0.174544  0.097059  0.145474  0.140358  0.108367  0.160200  0.051916  0.067054  0.108221  0.108455  0.097167  0.148121  0.123676  0.111090  0.119816  0.067985  0.173307  0.069305  1.000000  0.179136  0.110709  0.093320  0.108718  0.120431  0.141661  0.133945  0.035475  0.115379  0.066640  0.165771  0.067466  0.996326  0.172824  0.108565  0.091517  0.106466  0.114634  0.134750  0.122897  0.032572  0.046392  0.053693  0.009719  0.039697 -0.000646  0.002243  0.019171  0.026921 -0.010775  0.003326  0.037884  0.036755  0.010650  0.010728  0.002897 -0.006057 -0.040914 -0.051313 -0.025456  0.002176 -0.034687  0.015266  0.010520 -0.059684 -0.009773 -0.003366 -0.001819  0.004321  0.167447  0.034430 -0.025540
19  0.112378  0.099025  0.077532  0.079517  0.047351  0.093251  0.000387  0.025569  0.100325  0.033519  0.006999  0.142633  0.080697  0.030340  0.227220  0.102061  0.156892  0.169764  0.179136  1.000000  0.150289  0.125511  0.154203  0.203807  0.243405  0.226892  0.264645  0.224587  0.100684  0.152772  0.168768  0.176070  0.999090  0.150248  0.124967  0.152117  0.201878  0.240893  0.217021  0.263055  0.030152  0.000341 -0.043064 -0.045989 -0.049186  0.002533 -0.016085 -0.014302 -0.007311 -0.009134 -0.011493  0.005965  0.021172 -0.043979 -0.012965 -0.035499 -0.047905 -0.040898 -0.031965 -0.011373 -0.045654  0.001983 -0.026641 -0.045913 -0.031785 -0.012624 -0.027429 -0.055116  0.093873 -0.026238 -0.049194
20  0.030716  0.029097 -0.004912  0.008802  0.014085  0.042412  0.016340  0.005636  0.003845 -0.010590 -0.020500  0.025235  0.019371  0.008080  0.070006  0.031924  0.071702  0.254309  0.110709  0.150289  1.000000  0.087310  0.139376  0.164942  0.128845  0.098397  0.189350  0.069298  0.031519  0.071833  0.254280  0.110123  0.148935  0.999161  0.087285  0.139300  0.165362  0.128932  0.097107  0.189127  0.036739  0.016401 -0.009040 -0.022486 -0.026410  0.005335  0.024546  0.021958  0.020566  0.005748  0.013434  0.020882  0.028494 -0.002087 -0.017494 -0.012016 -0.033435 -0.015961 -0.021755 -0.005850 -0.013994  0.019994 -0.011009  0.000199 -0.021285 -0.025728 -0.023334 -0.022323  0.016427  0.013235 -0.023666
21  0.090309  0.081626  0.060126  0.101192  0.042928  0.100045  0.064325  0.069065  0.071215  0.048590  0.048981  0.086909  0.068683  0.052263  0.100494  0.031541  0.063454  0.061124  0.093320  0.125511  0.087310  1.000000  0.125611  0.094899  0.124006  0.101552  0.099698  0.098256  0.030414  0.060353  0.059802  0.090150  0.121611  0.084661  0.999579  0.124130  0.092268  0.120067  0.095250  0.098186  0.036874  0.076030  0.063134  0.080880  0.080532  0.044035  0.080429  0.040308  0.077168  0.024776  0.075399  0.091050  0.069523  0.010867 -0.000027  0.031830  0.026785  0.036844  0.032214  0.011130  0.055599  0.041814  0.045357  0.025121  0.032745  0.031029  0.048116  0.011981  0.099577  0.103871  0.045290
22  0.022695  0.024149 -0.018540  0.046140  0.001227  0.056800 -0.002443 -0.033330  0.011620 -0.049813 -0.042881  0.018454 -0.023780 -0.032569  0.099972  0.084613  0.158445  0.105030  0.108718  0.154203  0.139376  0.125611  1.000000  0.170189  0.537399  0.110632  0.098152  0.099521  0.084268  0.159117  0.104454  0.109228  0.152245  0.139453  0.126780  0.999783  0.172664  0.535265  0.109992  0.098842  0.102962  0.017735  0.006108 -0.015342 -0.025800  0.057606  0.036151  0.055976  0.010116  0.008701 -0.014208  0.020028  0.014207 -0.005839  0.056262  0.008359  0.027601  0.025737  0.044764  0.032015  0.038318  0.037036  0.010976  0.018244 -0.001459  0.063865  0.005573  0.010335 -0.004216  0.027077  0.039168
23  0.047710  0.062187  0.034887  0.068428 -0.057344  0.132597  0.017466 -0.049893  0.062010  0.010526 -0.083466  0.074819  0.074567  0.024667  0.153455  0.069834  0.195362  0.095675  0.120431  0.203807  0.164942  0.094899  0.170189  1.000000  0.305934  0.167916  0.196794  0.152422  0.068969  0.193309  0.094800  0.126054  0.198754  0.164199  0.096501  0.168901  0.998619  0.308177  0.163121  0.195264  0.002099 -0.055300 -0.079197 -0.080009 -0.110288 -0.059707 -0.021598 -0.010372 -0.037386 -0.085295 -0.064542 -0.078371 -0.043798 -0.058075 -0.088225 -0.122988 -0.132136 -0.116589 -0.098639 -0.089532 -0.131823 -0.041081 -0.046325 -0.129778 -0.093045 -0.052965 -0.072934 -0.130305  0.040136 -0.100178 -0.150947
24  0.014680  0.063360 -0.019122  0.071262 -0.067680  0.096938 -0.040860 -0.074865  0.044020 -0.070326 -0.118723  0.043748  0.024300 -0.008059  0.168676  0.077507  0.252279  0.102668  0.141661  0.243405  0.128845  0.124006  0.537399  0.305934  1.000000  0.345762  0.195082  0.168539  0.076624  0.252829  0.101757  0.148294  0.240002  0.130496  0.126381  0.536495  0.309375  0.998309  0.344897  0.194748  0.045766 -0.061989 -0.067884 -0.098500 -0.121176 -0.060147 -0.032037 -0.041116 -0.048318 -0.050534 -0.067816 -0.084575 -0.090362 -0.101777 -0.052259 -0.130906 -0.121583 -0.105703 -0.085572 -0.061873 -0.095800 -0.011328 -0.062720 -0.115468 -0.082121 -0.027366 -0.122075 -0.131930 -0.007815 -0.113055 -0.136480
25  0.109048  0.087893  0.099208  0.129081  0.071175  0.118308  0.080724  0.067834  0.106493  0.060079  0.025092  0.136069  0.081788  0.066298  0.102646  0.034098  0.122085  0.186151  0.133945  0.226892  0.098397  0.101552  0.110632  0.167916  0.345762  1.000000  0.201366  0.099915  0.032884  0.116940  0.184502  0.128571  0.222522  0.095074  0.099740  0.108416  0.164621  0.341305  0.996722  0.199670  0.009378  0.015784 -0.014632  0.010896 -0.043384 -0.012297  0.010118 -0.015681 -0.003874  0.037133 -0.010789 -0.018048 -0.002820 -0.042953 -0.046283 -0.072375 -0.040878 -0.045418 -0.053903 -0.010944 -0.037306  0.021324 -0.003840 -0.056486 -0.038026 -0.010693 -0.061542 -0.075352  0.125033 -0.010885 -0.062707
